date,author,title,tags
8-Jan-21,John Aven & Jhimli Bora,Introducing Hashmap Data Migrator,Cloud Computing
21-Dec-20,Archit Pandita,What's New with Airflow 2.0,Open Source
4-Dec-20,John Aven,"Exploring DevOps Options
Working with GitLab",Git
23-Nov-20,Sam Kohlleffel,Creating Reusable CI/CD Pipelines with GitLab,DevOps
18-Nov-20,Venkat Sekar,Verifying Deployment Using Terraform State Files,Hashicorp
28-Oct-20,John Aven,Building ML Pipelines,Machine Learning
8-Oct-20,Sam Kohlleffel,Automating a React App Hosted on AWS S3 (Part 3): Snowflake Healthcheck,Data
5-Oct-20,Randy Pitcher,Supercharge Your Snowflake Billing Statement with Custom User Metrics,Automation
10-Sep-20,Laurent Weichberger and Shubham Nikam,Hortonworks Data Platform 2.6.5 In-Place Upgrade to Cloudera Data Platform 7,Hortonworks
18-Aug-20,Sam Kohlleffel,How to Get a Snowflake Data Quality Assessment in 60 Seconds,Cloud Data Warehouse
4-Aug-20,Senthil Anandarangan & Ganesh Hegde,How to Connect S3 Data to Looker using Starburst Presto,Data
23-Jun-20,Venkat Sekar,Deploying and Running dbt on AWS Fargate,Data
12-May-20,Randy Pitcher,Automate Code Deployment with AWS EC2 Build Agents for your Azure DevOps Pipelines,Cloud Computing
23-Apr-20,Luke Kline,"My Top 2 Time-Saving, Data Quality Solutions for Hubspot",Cloud Computing
20-Apr-20,Venkat Sekar,Data Sync to Snowflake Using Confluent Kafka Connect: Part 1,Kafka
20-Feb-20,Venkat Sekar,"Quickly Visualize Snowflake's Roles, Grants, and Privileges",Snowflake Computing
31-Jan-20,John Aven,Data Science Repo Scaffolding for the Next Generation,Evolving Data Science
29-Jan-20,Randy Pitcher,The Hitchhiker's Guide to Timestamps in Snowflake: Part 1,Timestamps In Snowflake
27-Jan-20,John Aven,Streamsets & Snowflake:,Open Source
7-Jan-20,John Aven,Versioning Data Science Solutions,Version Control System
