date,author,title,tags
12-May-20,Randy Pitcher,Automate Code Deployment with AWS EC2 Build Agents for your Azure DevOps Pipelines,DevOps
23-Apr-20,Luke Kline,"My Top 2 Time-Saving, Data Quality Solutions for Hubspot",Hubspot
20-Apr-20,Venkat Sekar,Data Sync to Snowflake Using Confluent Kafka Connect: Part 1,Cloud Computing
20-Feb-20,Venkat Sekar,"Quickly Visualize Snowflake's Roles, Grants, and Privileges",Cloud Computing
31-Jan-20,John Aven,Data Science Repo Scaffolding for the Next Generation,Machine Learning
29-Jan-20,Randy Pitcher,The Hitchhiker's Guide to Timestamps in Snowflake: Part 1,Snowflake
27-Jan-20,John Aven,Streamsets & Snowflake:,Snowflake
7-Jan-20,John Aven,Versioning Data Science Solutions,Data Science
20-Oct-21,Hashmap,"Lessons Learned in Building a Modern Data Stack with Erik Jones from Hyperscience
Hashmap on Tap Ep. 90'�",Analytics Engineering
14-Sep-21,Hashmap,"The Power of Community and Analytics Engineering with Tristan Handy, Founder & CEO of dbt Labs",Analytics
18-Aug-21,Hashmap,"Digging Into DataOps and Its Benefits, Hashmap on Tap Podcast, Ep. 83",Data
4-Aug-21,Mohini Kalamkar,Getting to Know Snowflake Snowsight Snowflake's Interactive SQL Editor,Snowsight
21-Jul-21,Venkat Sekar,Parsing Complex Excel Files Using Snowflake's New Java UDF Feature,Cloud Computing
12-Jul-21,Jalindar Karande,Sending Email Notifications from Snowflake Using External Functions,Data
7-Jul-21,Hashmap,Developing SQL-Based Streaming Data Apps with Arjun Narayan of Materialize,Cloud Computing
23-Jun-21,Hashmap,Monte Carlo: Using Data Observability to Improve Data Reliability,Data Reliability
17-Jun-21,Jalindar Karande,Handling Deadlocks in Snowflake,Cloud Computing
15-Jun-21,Hashmap,Epiq Global: Simplifying eDiscovery with Snowflake,Data
26-May-21,Shubham Nikam and Laurent Weichberger,How to Perform a Cloudera CDH v6 Migration to CDP Public Cloud (AWS),Hadoop
24-May-21,Shekhar Parnerkar,A Quick Start Guide to Using the Snowflake Connector for Kafka,Kafka
10-May-21,Chinmayee Lakkad,How We Use Hashmap Data Cataloger (hdc) in Cloud Data Migrations: Part 2,Data
29-Mar-21,Archit Pandita,How to Build and Deploy Docker Images on GKE (Google Kubernetes Engine)' Part 2,Kubernetes
28-Jan-21,Sam Kohlleffel,Cloudy SQL Querying Snowflake Inside a Jupyter Notebook,Cloud Computing
26-Jan-21,Prabha Rashmi,Know Your Data Pipelines with Great Expectations,Documentation
18-Jan-21,Venkat Sekar,Integrating dbt with Azure Data Factory (ADF),Azure Data Factory
12-Jan-21,Jhimli Bora & John Aven,Understanding State Management in Hashmap Data Migrator,Data
11-Jan-21,Jhimli Bora & John Aven,"Accelerating Netezza to Snowflake Migrations
Using Hashmap Data Migrator",Snowflake
7-Jan-21,Venkat Sekar,Deploying and Running dbt on Azure Container Instances,Azure
16-Dec-20,The Hashmap Team,Hashmap Engineering & Technology: Our Top 10 Most Popular Articles in 2020,Snowflake
3-Dec-20,Sam Kohlleffel,Behind the Scenes of Snowflake Healthcheck,Snowflake Healthcheck
19-Nov-20,John Aven,"Building ML Pipelines
Dockerizing Your Code",Mlops
18-Nov-20,Shekhar Parnerkar and Gaurav Kholiya,"Staging, Ingesting, and Transforming Excel Files",Data Science
