date,author,title,tag1,tag2,tag3,tag4,tag5
7-Jul-21,Hashmap,Answers to 5 Common Snowflake Questions,Snowflake,Analytics,Data,Data Engineering,Cloud Computing
23-Jun-21,Hashmap,5 Compelling Snowflake Customer Metrics That You Need to Know,Snowflake,Data,Cloud Computing,Need To Know,Snowflake Data Cloud
21-Jun-21,Venkat Sekar,Performing Data Quality Checks in Snowflake Part 1,Data Quality,Data Monitoring,Snowflake,Data,Cloud Computing
16-Jun-21,Hashmap,Hashmap Wins Snowflake's Ski Lift Content Competition for the 2nd Straight Year,Snowflake,Cloud Computing,Cloud,Data,Data Warehouse
1-Jun-21,Hashmap,"The Origins and Future of Fivetran with George Fraser
Hashmap on Tap, Ep. 74",Fivetran,Dbt,Data Integration,Data,Cloud Computing
24-May-21,Hashmap,We're Excited for Snowflake Summit 2021 Here's Why,Snowflake,Snowpark,Cloud Computing,Cloud Migration,Data
14-May-21,Hashmap,Digging into Data Governance and Data Modeling,Data Governance,Data Modeling,Data,Cloud,Data Strategy
3-May-21,Shekhar Parnerkar,A Quick Start Guide to Change Data Capture with Debezium,Debezium,Change Data Capture,Kafka,Data,Open Source
17-Mar-21,David Hrncir and Chinmayee Lakkad,Extracting Facebook Insights via Fivetran and Snowflake,Snowflake,Fivetran,Looker,Cloud,Data
4-Feb-21,Jhimli Bora,Understanding Great Expectations and How to Use It,Data,Data Profiling,Data Testing,Open Source,Data Validation
29-Jan-21,Venkat Sekar,Cataloging Metadata in Snowflake,Data Catalog,Snowflake,Data Discovery,Cloud Computing,Data
26-Jan-21,Jhimli Bora,Data Science for Executives,Machine Learning,Supervised Learning,Unsupervised Learning,Artificial Intelligence,Data Science
19-Jan-21,Scottie Bryan,Strategy and the Cloud Access to Data,Data,Strategy,Data Strategy,Cloud Migration,Data Migration
13-Jan-21,Scottie Bryan,"Strategy and the Cloud Delegate, Delegate, Delegate",Data Strategy,Cloud Strategy,Strategy,Business Strategy,Delegation
12-Jan-21,Scottie Bryan,Strategy and the Cloud Think Strategic,Cloud Computing,Data Strategy,Cloud Strategy,Strategy,Business Strategy
8-Jan-21,John Aven & Jhimli Bora,Introducing Hashmap Data Migrator,Data Engineering,Data Migration,Python,Data,Cloud Computing
21-Dec-20,Archit Pandita,What's New with Airflow 2.0,Airflow,Python,Apache Airflow,Kubernetes,Open Source
4-Dec-20,John Aven,"Exploring DevOps Options
Working with GitLab",Gitlab Ci,DevOps,Gitlab,Version Control,Git
23-Nov-20,Sam Kohlleffel,Creating Reusable CI/CD Pipelines with GitLab,Ci Cd Pipeline,Docker,Gitlab,Python,DevOps
18-Nov-20,Venkat Sekar,Verifying Deployment Using Terraform State Files,Terraform,Iac,Open Source,DevOps,Hashicorp
28-Oct-20,John Aven,Building ML Pipelines,Mlops,Argo,Data Science,Kubernetes,Machine Learning
8-Oct-20,Sam Kohlleffel,Automating a React App Hosted on AWS S3 (Part 3): Snowflake Healthcheck,React,Snowflake,AWS,Cloud Computing,Data
5-Oct-20,Randy Pitcher,Supercharge Your Snowflake Billing Statement with Custom User Metrics,Snowflake,Data Science,Analytics,Cloud Computing,Automation
10-Sep-20,Laurent Weichberger and Shubham Nikam,Hortonworks Data Platform 2.6.5 In-Place Upgrade to Cloudera Data Platform 7,Hdp,Cloudera,Cdp,Ambari,Hortonworks
18-Aug-20,Sam Kohlleffel,How to Get a Snowflake Data Quality Assessment in 60 Seconds,Snowflake,Data,Cloud Computing,Data Quality,Cloud Data Warehouse
4-Aug-20,Senthil Anandarangan & Ganesh Hegde,How to Connect S3 Data to Looker using Starburst Presto,Starburst,Presto,Sql,Looker,Data
23-Jun-20,Venkat Sekar,Deploying and Running dbt on AWS Fargate,AWS,Aws Fargate,Dbt,Snowflake,Data
12-May-20,Randy Pitcher,Automate Code Deployment with AWS EC2 Build Agents for your Azure DevOps Pipelines,DevOps,Azure,AWS,Aws Ec2,Cloud Computing
23-Apr-20,Luke Kline,"My Top 2 Time-Saving, Data Quality Solutions for Hubspot",Hubspot,Data Quality,Sales,Marketing,Cloud Computing
20-Apr-20,Venkat Sekar,Data Sync to Snowflake Using Confluent Kafka Connect: Part 1,Cloud Computing,Snowflake,Data,Open Source,Kafka
20-Feb-20,Venkat Sekar,"Quickly Visualize Snowflake's Roles, Grants, and Privileges",Cloud Computing,Snowflake,D3js,Data,Snowflake Computing
31-Jan-20,John Aven,Data Science Repo Scaffolding for the Next Generation,Machine Learning,Data,Data Science,AI,Evolving Data Science
29-Jan-20,Randy Pitcher,The Hitchhiker's Guide to Timestamps in Snowflake: Part 1,Snowflake,Cloud Computing,Data,Datatypes In Snowflake,Timestamps In Snowflake
27-Jan-20,John Aven,Streamsets & Snowflake:,Snowflake,Streamsets,Cloud Computing,Data,Open Source
7-Jan-20,John Aven,Versioning Data Science Solutions,Data Science,Machine Learning,AI,Versioning,Version Control System
"2019, 2018, 2017 Stories",Hashmap,Access Previous Years,null,null,null,null,null
